cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
v1_pbmc_v1_cell_119,7.7620000000000005,97.81,0.0,7431.0,0.7018300000000001,62.8987,26820,7746
v1_pbmc_v1_cell_11,5.1976,97.7,0.0,4606.0,0.514698,64.34,10199,5685
v1_pbmc_v1_cell_120,17.6707,97.85,0.341746,22746.0,0.6130479999999999,55.0583,63219,25304
v1_pbmc_v1_cell_121,12.8779,97.81,0.0,14593.0,0.644913,58.415,44233,15773
v1_pbmc_v1_cell_122,17.9993,97.69,0.5423319999999999,23107.0,0.6901649999999999,62.1013,80713,24373
v1_pbmc_v1_cell_123,16.4878,97.87,0.0,19820.0,0.648307,60.1488,60582,21368
v1_pbmc_v1_cell_124,7.5967,97.51,0.0,7352.0,0.478545,59.391999999999996,15153,9543
v1_pbmc_v1_cell_125,19.8804,97.91,0.0,24593.0,0.6409779999999999,56.6442,73282,26659
v1_pbmc_v1_cell_126,5.0063,97.16,0.134849,5184.0,0.725213,56.858000000000004,20403,5350
v1_pbmc_v1_cell_127,10.436,97.97,0.130743,10694.0,0.672147,63.4432,35085,11357
v1_pbmc_v1_cell_128,7.6803,97.8,0.08338,7190.0,0.619541,69.6151,20295,7937
v1_pbmc_v1_cell_129,13.3923,97.78,0.0,14890.0,0.682557,61.7764,50385,15690
v1_pbmc_v1_cell_130,9.2531,97.75,1.746117,9172.0,0.745827,63.7172,39633,9541
v1_pbmc_v1_cell_131,22.9369,97.52,17.146987,36684.0,0.5984470000000001,51.7402,126059,49738
v1_pbmc_v1_cell_132,2.4957,95.41,0.553797,2514.0,0.307587,45.2136,4127,4659
v1_pbmc_v1_cell_133,4.1744,97.4,0.0,3651.0,0.5023850000000001,63.5853,7934,4585
v1_pbmc_v1_cell_134,12.3487,97.46,0.0,12895.0,0.664166,67.8209,41510,13744
v1_pbmc_v1_cell_135,17.329,97.72,0.0,19911.0,0.65227,71.1391,61599,21407
v1_pbmc_v1_cell_136,3.7547,97.58,0.0,3285.0,0.47237399999999996,62.2222,6703,4305
v1_pbmc_v1_cell_137,18.9037,97.66,0.0,23535.0,0.691708,63.2972,82025,24669
v1_pbmc_v1_cell_138,6.3786,90.75,0.465605,6627.0,0.753617,59.4097,32699,6787
v1_pbmc_v1_cell_139,11.1212,98.04,0.025593,11719.0,0.579751,62.7581,29823,13415
v1_pbmc_v1_cell_13,4.3657,97.56,0.0,3909.0,0.545729,61.8317,9224,4644
v1_pbmc_v1_cell_140,19.9287,97.55,0.034312999999999996,26220.0,0.6765800000000001,66.7524,87476,27742
v1_pbmc_v1_cell_141,7.0081,98.01,0.46898,7428.0,0.534958,54.3347,17267,8979
v1_pbmc_v1_cell_142,8.1668,97.85,0.5323289999999999,7661.0,0.601799,69.9623,20801,8627
v1_pbmc_v1_cell_143,1.1105,96.8,0.0,1010.0,0.347966,56.2871,1671,1687
v1_pbmc_v1_cell_144,17.4682,98.04,0.249281,20808.0,0.654716,62.7541,64504,22386
v1_pbmc_v1_cell_145,7.3962,97.92,0.0,6835.0,0.596517,65.4279,18074,7696
v1_pbmc_v1_cell_146,15.7469,97.9,0.13929,19357.0,0.5865100000000001,59.6059,50166,22037
